职位,公司名称,薪资,城市,区域,经验要求,学历要求,领域,性质,规模,职位详情页,公司详情页
销售助理/销售跟单/客服专员/英文客服,上海法司特汽车租赁,7千-1万·13薪,上海,静安区,2年,大专,交通/运输/物流,民营,150-500人,https://jobs.51job.com/shanghai-jaq/148865621.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coAGQBZ148DjEBZFcxXTg.html
高级绩效经理,苏州晟域汽车零部件,1-1.5万,常熟,未知,5-7年,本科,汽车零配件,民营,,https://jobs.51job.com/changshu/152328101.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coCWhXOl44UWxRNVc3B2M.html
行政专员（工作地点在丽水）,杭州中欣晶圆半导体,6-8千·14薪,丽水,未知,无需经验,本科,电子技术/半导体/集成电路,合资,1000-5000人,https://jobs.51job.com/lishui/135661465.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coVjRUN1Q2Bj5RMAVhUz4.html
销售内勤,四川金来缘科技,4.5-8千,成都,金牛区,1年,高中,原材料和加工,民营,少于50人,https://jobs.51job.com/chengdu-jnq/152193987.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coBmcCZV84DjIPYwBrB2Y.html
销售助理/客服专员,正和源检测技术（上海）,6-8千·13薪,上海,嘉定区,1年,本科,检测，认证,民营,50-150人,https://jobs.51job.com/shanghai-jdq/152329694.html?s=sou_sou_soulb&t=0_0&req=d79f3ca769069105ac5ded98d640fec2,https://jobs.51job.com/all/coB2ZVN1E3VGsHZA1vBWc.html
品管部经理,上海邦成生物工程,1-1.5万,上海,金山区,3-4年,大专,农/林/牧/渔,民营,150-500人,https://jobs.51job.com/shanghai-jsq/135712541.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coUTZdOlIzDjgEaQRuVzc.html
金融同业融资经理,皖江金融租赁,1.5-3万,合肥,滨湖新区,3-4年,本科,金融/投资/证券,国企,150-500人,https://jobs.51job.com/hefei-bhxq/152100124.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coCW1dMFcxU2hUM1A3Am8.html
暖通助理工程师,合肥晶澳太阳能科技,7千-1万,合肥,高新区,2年,大专,新能源,已上市,1000-5000人,https://jobs.51job.com/hefei-gxq/145597572.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coB2QCYV44UmgCb1MzBms.html
琼海—旺江山市场驱动经理,上海旺旺食品集团,6-8千,琼海,未知,5-7年,高中,快速消费品(食品、饮料、化妆品),外资（非欧美）,10000人以上,https://jobs.51job.com/qionghai/152339826.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coCW5dOwdlUmUGYANk.html
学校企业银行招保安,武汉市天盾保安服务,3.5-6千,武汉,江岸区,1年,初中及以下,物业管理/商业中心,民营,,https://jobs.51job.com/wuhan-jaq/152339796.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coBGVTM1c1DzYPaQZtUDU.html
General Manager总经理,协力管理咨询（深圳）有限公司上海,2-3.5万·13薪,临沂,沂南县,10年以上,本科,专业服务(咨询、人力资源、财会),外资（非欧美）,150-500人,https://jobs.51job.com/linyi-ynx/149897744.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coCW5dO1IzAztUM1QyVzY.html
项目实施工程师,深圳市国信合成科技,6千-1.2万,上海,徐汇区,2年,大专,计算机软件,民营,150-500人,https://jobs.51job.com/shanghai-xhq/95548519.html?s=sou_sou_soulb&t=0_0&req=e90d431a51c448babe23464ec243c55f,https://jobs.51job.com/all/coBGYCYVM0ATYFaVM0BWY.html
